id,name,continente,pais_produccion,ciudad_produccion,centro_produccion,titular,codigo_epd,producto,producto_asignado,compania_verificadora,referencia,ruta_de_produccion,contenido_reciclado_pct,gwp_total_kg_co2e_t,archivo,caracteristicas_funcionales,lat,lon
corrugated-steel-b500sd-samsun-bregenepd000080,Corrugated steel B500SD - Samsun - BREGENEPD000080,EUROPA / ASIA,Turkey,Samsun,Yesilyurt Demir Celik Endustri ve Liman Isletmeleri A.S.,UK CARES,BREGENEPD000080,Barras de acero para refuerzo,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,97.9,893,BREGENEPD000080.pdf,"Barra de acero de refuerzo para hormigón; ruta EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; soldabilidad (Ceq máx. 0,50%); límite elástico mín. 500 N/mm² y máx. 650 N/mm²; resistencia a tracción mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 (>6–12 mm) y 0,056 (>12 mm); re-bend: pass; fatigue: pass.",41.2303557,35.9683338
corrugated-steel-b500sd-biga-canakkale-bregenepd000125,"Corrugated steel B500SD - Biga, Çanakkale - BREGENEPD000125",EUROPA / ASIA,Turkey,"Biga, Çanakkale",İçdaş Çelik Enerji Tersane ve Ulaşım Sanayi A.Ş.,UK CARES,BREGENEPD000125,Barras de acero para refuerzo,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,97.7,869,BREGENEPD000125.pdf,"Barra de acero de refuerzo para hormigón; ruta EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; soldabilidad (Ceq máx. 0,50%); límite elástico mín. 500 N/mm² y máx. 650 N/mm²; resistencia a tracción mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; geometría superficial corrugada (fR mín. 0,040 / 0,056 según diámetro); re-bend: pass; fatigue: pass.",40.26921,27.20841
corrugated-steel-b500sd-gargenville-ile-de-france-bregenepd000126,Corrugated steel B500SD - Gargenville (Île-de-France) - BREGENEPD000126,EUROPA,France,Gargenville (Île-de-France),ALPA Acierie et Laminoirs de Paris,UK CARES,BREGENEPD000126,Barras de acero para refuerzo,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,98.7,309,BREGENEPD000126.pdf,"Barra de acero de refuerzo para hormigón; ruta EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; soldabilidad (Ceq máx. 0,50%); límite elástico mín. 500 N/mm² y máx. 650 N/mm²; resistencia a tracción mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada (fR mín. 0,040 / 0,056); re-bend: pass; fatigue: pass.",48.98802,1.81176
corrugated-steel-b500sd-neuves-maisons-meurthe-et-moselle-bregenepd000129,Corrugated steel B500SD - Neuves-Maisons (Meurthe-et-Moselle) - BREGENEPD000129,EUROPA,France,Neuves-Maisons (Meurthe-et-Moselle),Riva Acier,UK CARES,BREGENEPD000129,Barras de acero para refuerzo,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,98.7,283,BREGENEPD000129.pdf,"Barra de acero de refuerzo para hormigón; ruta EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; soldabilidad (Ceq máx. 0,50%); límite elástico mín. 500 N/mm² y máx. 650 N/mm²; resistencia a tracción mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada (fR mín. 0,040 / 0,056); re-bend: pass; fatigue: pass.",48.61811,6.10544
corrugated-steel-b500sd-aliaga-izmir-bregenepd000133,Corrugated steel B500SD - Aliaga (Izmir) - BREGENEPD000133,EUROPA / ASIA,Turkey,Aliaga (Izmir),HABAS A.S.,UK CARES,BREGENEPD000133,Barras de refuerzo de acero,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,89.1,941,BREGENEPD000133.pdf,"Barra de acero de refuerzo para hormigón; ruta EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; soldabilidad (Ceq máx. 0,50%); límite elástico mín. 500 N/mm² y máx. 650 N/mm²; resistencia a tracción mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada (fR mín. 0,040 / 0,056); re-bend: pass; fatigue: pass.",38.80078,27.04375
corrugated-steel-b500sd-biga-canakkale-bregenepd000134,Corrugated steel B500SD - Biga (Çanakkale) - BREGENEPD000134,EUROPA / ASIA,Turkey,Biga (Çanakkale),ICDAS Celik Enerji Tersane ve Ulasim Sanayi A.S.,UK CARES,BREGENEPD000134,Barras de refuerzo de acero,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,97.8,850,BREGENEPD000134.pdf,"Barra de acero de refuerzo para hormigón; ruta EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; soldabilidad (Ceq máx. 0,50%); límite elástico mín. 500 N/mm² y máx. 650 N/mm²; resistencia a tracción mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada (fR mín. 0,040 / 0,056); re-bend: pass; fatigue: pass.",40.26921,27.20841
corrugated-steel-b500sd-marmara-ereglisi-tekirdag-bregenepd000135,Corrugated steel B500SD - Marmara Ereğlisi (Tekirdağ) - BREGENEPD000135,EUROPA / ASIA,Turkey,Marmara Ereğlisi (Tekirdağ),Kaptan Demir Çelik Endüstrisi ve Ticaret A.Ş.,UK CARES,BREGENEPD000135,Barras de refuerzo de acero,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,98.7,850,BREGENEPD000135.pdf,"Barra de acero de refuerzo para hormigón; producción vía EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; soldabilidad (Ceq máx. 0,50%); límite elástico mín. 500 N/mm² y máx. 650 N/mm²; resistencia a tracción mín. 540 N/mm²; relación Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 (>6–12 mm) y 0,056 (>12 mm); re-bend test: pass; fatigue test: pass.",40.96907,27.95503
corrugated-steel-b500sd-darica-kocaeli-bregenepd000136,Corrugated steel B500SD - Darica (Kocaeli) - BREGENEPD000136,EUROPA / ASIA,Turkey,Darica (Kocaeli),Kroman Çelik Sanayii A.S.,UK CARES,BREGENEPD000136,Barras de refuerzo de acero,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,97.5,825,BREGENEPD000136.pdf,"Barra de acero de refuerzo para hormigón; EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; geometría superficial corrugada con fR mín. 0,040 / 0,056 según diámetro; re-bend: pass; fatigue: pass.",40.78,29.395
corrugated-steel-b500sd-naron-a-coruna-bregenepd000137,Corrugated steel B500SD - Narón (A Coruña) - BREGENEPD000137,EUROPA,Spain,Narón (A Coruña),Megasa Siderúrgica S.L.,UK CARES,BREGENEPD000137,Barras de refuerzo de acero,Corrugated steel B500SD,BRE Global – verificador: Pat Hermon,EN 15804:2012+A2:2019,EAF,98.6,615,BREGENEPD000137.pdf,"Barra de acero de refuerzo para hormigón; EAF; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; soldabilidad (Ceq máx. 0,50%); límite elástico mín. 500 / máx. 650 N/mm²; resistencia a tracción mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",43.50175,-8.19082
corrugated-steel-b500sd-mesaieed-bregenepd000139,Corrugated steel B500SD - Mesaieed - BREGENEPD000139,MEDIO ORIENTE,Qatar,Mesaieed,Qatar Steel Company (QPSC),UK CARES,BREGENEPD000139,Carbon Steel Reinforcing Bar,Corrugated steel B500SD,BRE Global (verificación externa: Pat Hermon),"EN 15804+A2, ISO 14025",DRI + EAF,32.2,2020,BREGENEPD000139.pdf,"Barra de acero de refuerzo para hormigón; obtenida a partir de DRI + EAF + laminación en caliente; densidad 7850 kg/m³; módulo elástico 200000 N/mm²; Ceq máx. 0,50%; fy mín. 500 / máx. 650 N/mm²; fu mín. 540 N/mm²; Ts/Ys ≥ 1,08; Agt mín. 5%; superficie corrugada con fR mín. 0,040 / 0,056; re-bend: pass; fatigue: pass.",24.989166,51.580002
