Código;NombreArchivo;AñoRedacción;Localización geográfica (País y Región);Completitud (Completo / Incompleto);Tipo de documento principal;Tipo de infraestructura;Contenido;Índice;Autor del documento;Propiedad del documento;ID;Título;Año;Clase;Tipo de contenido;Procedimiento administrativo;Notas
OFF0001;1-Memoria_BASICO.pdf;2008;España | País Vasco (Bizkaia – Lemoiz/Armintza);Completo;Proyecto;Instalación de energía marina (plataforma/banco de ensayos de energía de olas) + cable submarino + subestación;Proyecto básico de la “Infraestructura Biscay Marine Energy Platform (bimep)” para tramitar la solicitud de autorización de instalación de generación eléctrica en régimen especial. Define una infraestructura de investigación, pruebas y demostración de energía de las olas en mar abierto frente a Armintza (Lemoiz, Bizkaia), con un área de 4×2 km² (zona de guarda incluida) y profundidades ~50–90 m. Describe la arquitectura offshore/onshore: cuatro amarres o puntos de conexión (5 MW, 13 kV cada uno), cables submarinos individuales hacia tierra (con fibra óptica), punto de entrada a tierra y BMH, tendido eléctrico terrestre hasta subestación y conexión a red, sistema de monitorización/SCADA y centro de investigación/recogida de datos (CIC energiGUNE como gestor). Incluye criterios de emplazamiento, aspectos de seguridad marítima y propuesta de balizamiento, evaluación ambiental y plan de vigilancia, planificación y presupuesto estimado.;"1. Memoria: 1 Antecedentes; 2 Emplazamiento (2.1 Área de instalación); 3 Objeto; 4 Características principales (4.1–4.5); 5 Condiciones técnicas y de seguridad; 6 Evaluación de impacto ambiental; 7 Criterios de emplazamiento (7.1 Recurso; 7.2 Batimetría; 7.3 Socioeconómicos); 8 Recurso energético (8.1–8.2); 9 Energía a transferir a red; 10 Viabilidad; 11 Tráfico marítimo y protección navegación; 12 Balizamiento; 13 Planificación; 14 Presupuesto; 15 Conclusión. Anejos: 1 Tipos de captadores; 2 Señalización y balizamiento; 3 Reportaje fotográfico; 4 Parcelas afectadas por el tendido eléctrico. 2 Planos; 3 Presupuesto.";Arantzazu Sautua Larreategi (Ingeniero Industrial);Ente Vasco de la Energía (EVE);OFF0001-1;Proyecto básico “Infraestructura Biscay Marine Energy Platform (BiMEP)”;2008;Comercial;Proyecto Básico;"Autorización Administrativa Previa; Evaluación ambiental";Disponible
OFF0002;memoria eólica - Vfin.pdf;2018;España | País Vasco (Bizkaia);Completo;Proyecto;Infraestructura de ensayos eólica marina (BiMEP);Adenda (I) al proyecto básico de la infraestructura Biscay Marine Energy Platform (BiMEP) en Armintza-Lemoiz (Bizkaia), destinada a soportar la modificación de la Autorización Administrativa para extender el uso de BiMEP al ensayo y demostración de equipos de producción eléctrica a partir de energía eólica marina. Describe el emplazamiento (sin variación respecto a la concesión), y caracteriza las soluciones tecnológicas para aguas profundas: cimentaciones fijas (gravedad y pilotaje) y plataformas flotantes (semisumergible, spar, TLP y barcaza). Define el marco del ensayo: hasta 2 aerogeneradores simultáneos, potencia unitaria ?5 MW (potencia total ?10 MW), integración con amarres/puntos de conexión, líneas de fondeo, anclajes y cable umbilical, con evacuación a red mediante la infraestructura existente. Incluye ampliación ambiental (DIA favorable 31/05/2018) y presupuesto del PVA.;"0. Antecedentes; 1. Objeto; 2. Emplazamiento; 3. Características principales de la instalación (3.1 Características generales; 3.2 Energía eólica en aguas profundas; 3.2.1 Cimentaciones y plataformas flotantes; 3.3 Aerogeneradores marinos en BiMEP; 3.4 Instalación eólica marina tipo; 3.5 Marco general); 4. Evaluación de impacto ambiental; 5. Presupuesto (5.1 Infraestructura; 5.2 Ensayo/demostración; 5.3 PVA); Anejo “Estudio de Tecnologías Flotantes”.";"BiMEP (Dirección de BiMEP; firmante: Yago Torre-Enciso Enciso)";Por confirmar;OFF0002-2;Adenda al proyecto básico. Infraestructura Biscay Marine Energy Platform (BiMEP) en Armintza-Lemoiz (Bizkaia). “Aerogeneradores marinos en la infraestructura BiMEP”.;2015;Comercial;Proyecto Básico;"Modificación de autorización administrativa; Evaluación ambiental";Disponible
OFF0002;IBECUKW-2014-TV-0016 Estudio de Tecnologías Flotantes - Iberdrola Ingeniería - EVE.pdf;2014;España | País Vasco (Bizkaia);Completo;Informe técnico;Plataforma flotante eólica marina (offshore);Estudio técnico para adjuntar a la solicitud de modificación no sustancial de la Autorización Administrativa de BIMEP, incorporando la posibilidad de ensayar plataformas flotantes para aerogeneradores marinos. El documento revisa las principales tipologías de plataformas flotantes (semisumergible, spar y TLP), sus principios de estabilidad, configuraciones, procesos de construcción, transporte e instalación, y los sistemas de fondeo asociados (catenaria, líneas tensionadas, anclajes y componentes). Incluye análisis de operación y mantenimiento, accesibilidad y logística, así como un estado del arte de proyectos y conceptos (demostradores y desarrollos) y una clasificación por niveles de madurez tecnológica (TRL). Complementa el estudio con un apartado específico sobre aerogeneradores marinos: características principales, tecnologías disponibles y análisis del mercado de suministradores. Aporta anexos con fichas descriptivas de plataformas y referencias bibliográficas.;"1. Objeto; 2. Descripción de plataformas flotantes para aerogeneradores marinos (2.1 Tipologías: semisumergible, spar y TLP; 2.2 Sistemas de fondeo; 2.3 O&M y accesibilidad; 2.4 Estado del arte; 2.5 Clasificación por TRL); 3. Estado del arte de aerogeneradores marinos (3.1 Características; 3.2 Tecnologías y análisis de mercado; 3.3 Mercado de suministradores); 4. Anexos (4.1 Fichas descriptivas); 5. Referencias";Iberdrola Ingeniería y Construcción (Unidad Offshore & UK Renewables);Por confirmar (EVE / BiMEP);OFF0002-1;Adenda al proyecto básico. Infraestructura Biscay Marine Energy Platform (BiMEP) en Armintza-Lemoiz (Bizkaia). “Aerogeneradores marinos en la infraestructura BiMEP”.;2015;Comercial;Proyecto Básico;"Modificación de autorización administrativa; Evaluación ambiental";Disponible
OFF0003;EsIA BIMEP REV 6.pdf;2010;España | País Vasco (Bizkaia – Lemoiz/Armintza);Completo;Estudio ambiental;Subestación eléctrica + línea eléctrica soterrada (evacuación terrestre);Estudio de Impacto Ambiental (EsIA) de la evacuación terrestre de la energía producida por la infraestructura marina BIMEP en Lemoiz (Bizkaia). Evalúa la construcción y operación de una subestación eléctrica 132/13,2 kV para transformar la tensión de evacuación (13,2 kV) a 132 kV de la red próxima, y una línea soterrada de 13,2 kV que conecta la arqueta de llegada del cable submarino con la subestación. Describe emplazamiento en Armintza (TM Lemoiz), trazado soterrado junto a caminos preexistentes, alternativa de subestación y de línea (descarta evacuación aérea por impacto paisajístico) y acciones del proyecto (movimientos de tierras, cimentaciones, edificio de control, canalizaciones y aparataje). Incluye inventario ambiental (medio abiótico, flora, fauna, paisaje, socioeconomía), identificación y valoración de impactos, medidas preventivas/correctoras y Programa de Vigilancia Ambiental con planos.;"1. Introducción – Objetivos; 2. Descripción del proyecto y sus acciones (2.1 Introducción; 2.2 Emplazamiento; 2.3 Subestación: 2.3.1 Proyecto civil; 2.3.2 Proyecto eléctrico; 2.3.3 Proyecto electromecánico; 2.4 Línea eléctrica; 2.5 Emisiones); 3. Análisis de alternativas; 4. Inventario ambiental (4.1–4.7); 5. Identificación y valoración de impactos; 6. Medidas preventivas-correctoras; 7. Programa de vigilancia; Planos.";ARConsultores en Medio Ambiente, S.L. (ARC);Por confirmar (EVE);OFF0003-1;Pliego técnico: subestación eléctrica y estudio de impacto ambiental;2011;Comercial;"Pliego técnico; Estudio de Impacto Ambiental";"Evaluación de Impacto Ambiental (ordinaria); Autorización de Construcción; Legalización; Autorización de explotación (puesta en servicio)";Disponible
OFF0003;P227396-SRTE-SP-0001-01 Pliego técnico subestación.pdf;2011;España | País Vasco (Bizkaia – Armintza/Lemoiz);Completo;Ingeniería de detalle;Subestación eléctrica 132/13,2 kV (evacuación BIMEP);Pliego técnico (proyecto de ingeniería de la propiedad) para la contratación “llave en mano” del diseño, fabricación, suministro, transporte, montaje, pruebas, puesta en marcha y energización de la subestación eléctrica asociada al proyecto BIMEP. Define el alcance de suministro e ingeniería del contratista, límites de propiedad entre Iberdrola (posiciones de línea, barra y equipos asociados en 132 kV) y el Ente Vasco de la Energía (transformadores, MT 13,2 kV, BT y auxiliares), así como requisitos de integración en la red de 132 kV. Incluye datos del emplazamiento en Armintza (parcelas 115 y 126, Lemoiz) y especificaciones técnicas de configuración entrada-salida, aparamenta AT/MT, embarrados, protecciones, telecontrol/comunicaciones, servicios auxiliares, puesta a tierra, obra civil, seguridad (PCI/antiintrusión), ensayos, recepción, control de calidad, precios y documentación “as-built”, con anejos de documentación a entregar, hojas de datos y planos.;"1. Introducción (1.1–1.6); 2. Alcance de suministro (2.1–2.7); 3. Códigos, normas y estándares; 4. Datos del emplazamiento; 5. Características técnicas particulares (5.1–5.12); 6. Características técnicas generales (6.1–6.18); 7. Condiciones técnicas de montaje (7.1–7.10); 8. Inspección, ensayos, recepción y puesta en marcha (8.1–8.4); 9. Precios; 10. Control de calidad; 11. Control de proyecto y documentación (11.1–11.4). Anejos: Anejo A Documentación tras adjudicación; Anejo B Hojas de datos; Anejo C Planos.";SENER Ingeniería y Sistemas, S.A.;Ente Vasco de la Energía (EVE);OFF0003-2;Pliego técnico: subestación eléctrica y estudio de impacto ambiental;2011;Comercial;"Pliego técnico; Estudio de Impacto Ambiental";"Evaluación de Impacto Ambiental (ordinaria); Autorización de Construcción; Legalización; Autorización de explotación (puesta en servicio)";Disponible
OFF0003;CAP_1_VOL_01.pdf;Por confirmar (incluye documentos 2011–2014);España | País Vasco (Bizkaia – Armintza/Lemoiz);Completo;Informe técnico;Subestación eléctrica 132/13,2 kV (ST Armintza) + obra civil asociada + sistemas auxiliares y seguridad;Dossier de “Documentación Final de Obra (DFO)” relativo a la construcción, instalación y puesta en marcha de la subestación 132/13,2 kV de Armintza (BIMEP). Compila, como volumen 1 de 8, la documentación técnica de proyecto y de ejecución, legalizaciones y justificación normativa, así como evidencias de fabricación/montaje y ensayos para la recepción. Incluye memorias (proyecto de subestación, memoria técnica del edificio, memoria del sistema de seguridad y antiintrusismo), documentación administrativa de legalización (proyectos oficiales, licencias, certificados, protocolos y resultados de ensayos, cesiones), y cálculos/estudios (pórticos, estructuras, drenajes y cimentaciones, vallado, selectividad y pruebas de protecciones, ajustes de protecciones, BT, climatización e iluminación). Aporta además reportaje fotográfico, listado de materiales y proveedores, actas, planos (incl. as-built), gestión de residuos y documentación de calidad.;"1. Documentación técnica: 1.1 Memorias (Proyecto subestación; Memoria técnica edificio; Memoria sistema seguridad/antiintrusismo); 1.2 Legalizaciones (Proyecto oficial ejecución subestación – SENER; Proyecto oficial ejecución – ELIMCO; Licencia de obras; Certificados AT/BT; Protocolos/ensayos; Carta de cesión EVE; PCI lado EVE/IBD; etc.); 1.3 Cálculos y estudios (pórticos; cálculo estructural/aislamiento; estructuras acero-drenajes-cimentaciones; vallado; selectividad; pruebas/ajustes protecciones; BT; cargas térmicas; iluminación); 1.4 Reportaje fotográfico; 1.5 Listado materiales y proveedores; 1.6 Actas. 3. Planos (índice; planos Iberdrola/EVE; as-built). 4. Gestión de residuos. 5. Calidad.";ELIMCO Soluciones Integrales (DFO / compilación);Por confirmar (EVE / Iberdrola);OFF0003-4;Pliego técnico: subestación eléctrica y estudio de impacto ambiental;2011;Comercial;"Pliego técnico; Estudio de Impacto Ambiental";"Evaluación de Impacto Ambiental (ordinaria); Autorización de Construcción; Legalización; Autorización de explotación (puesta en servicio)";Disponible
OFF0004;eia_report_volume_1_-_non-technical_summary_redacted.pdf;2022;Reino Unido | Escocia (Highland – Caithness, Dounreay / Pentland Firth);Completo;Estudio ambiental;Parque eólico marino flotante + cables submarinos de exportación;Resumen no técnico (Non-Technical Summary) del Estudio de Impacto Ambiental offshore del “Pentland Floating Offshore Wind Farm”. Describe una instalación demostrativa de eólica marina flotante de ~100 MW promovida por Highland Wind Limited, con hasta 7 aerogeneradores flotantes (hasta 300 m a punta) sobre subestructuras flotantes, fondeadas mediante líneas de amarre y anclajes/pilotes. Incluye cables inter-array dinámicos/estáticos y hasta 2 cables submarinos de exportación hasta una zona de “landfall” en la costa de Dounreay (Caithness), a ~7,5 km de la costa, en profundidades de ~66–102 m. Explica el enfoque de evaluación (“design envelope”), el programa indicativo de construcción por etapas y vida útil hasta 30 años, y resume los resultados por receptores (procesos físicos, calidad de agua/sedimentos, bentos, peces, mamíferos, aves, pesca comercial, navegación, aviación/radar, paisaje/visual, arqueología, socioeconomía, clima y riesgos). En general, concluye efectos no significativos con mitigación incorporada, salvo impactos visuales/locales en parte del litoral.;"1. Background and Project Description (1.1–1.5); 2. Physical Environment (2.1–2.2); 3. Biological Environment (3.1–3.4); 4. Human Environment (4.1–4.7); 5. Climate Assessment; 6. Major Accidents and Disasters; 7. Further Information.";No identificado (no visible en páginas cargadas);Highland Wind Limited (HWL) (promotor/solicitante de consentimientos);OFF0004-57;Pentland Floating Offshore Wind Farm. Environmental Impact Assessment Report;2022;Comercial;Estudio de Impacto Ambiental;Evaluación de Impacto Ambiental (ordinaria);Disponible
OFF0005;Proyecto modificado PLOCAN 25102017.pdf;2017;España | Canarias (Las Palmas, Gran Canaria);Completo;Proyecto;Cable submarino + Subestación (66 kV) + Cable terrestre;Proyecto técnico modificado nº1 para la “Red eléctrica para el ensayo de nuevas tecnologías marinas” del Banco de Ensayos de PLOCAN, con conexión a la Central Térmica de Jinámar (Las Palmas de Gran Canaria). Define y justifica las instalaciones eléctricas y de comunicaciones necesarias para la interconexión marino-terrestre (IECOM) y la evacuación de energía desde prototipos marinos: suministro e instalación de dos cables submarinos híbridos (13,2 kV AC hasta 5 MW por cable, 400 V DC y 24 fibras ópticas), obra civil y canalizaciones de transición tierra-mar, centro de seccionamiento, cableado terrestre hasta la subestación 13,2 kV de EMALSA (adecuaciones), verificación del cable existente hasta la subestación 66 kV en Jinámar e instalación de transformador 13,2/66 kV con protecciones, embarrados, reactancia de puesta a tierra y comunicaciones/SCADA.;"Índice general: Documento 1 – Memoria descriptiva y anexos; Documento 2 – Planos; Documento 3 – Pliego de condiciones técnicas particulares; Documento 4 – Presupuesto. Memoria (Documento 1) – Índice: 1. Antecedentes; 2. Objeto del proyecto; 3. Titular de la instalación. Situación y emplazamiento (3.1 Titular; 3.2 Situación y emplazamiento); 4. Alcance del proyecto; 5. Normas y referencias; 6. Requisitos de la instalación (6.1 Submarina; 6.2 Terrestre: 6.2.1 Subestación 66 kV; 6.2.2 Interconexión tierra-mar); 7. Servicios afectados; 8. Elementos del sistema eléctrico y de comunicaciones (Subestación 66 kV; Interconexión; Parque 13,2 kV; Infraestructura terrestre; Cables submarinos).";Cobra Instalaciones y Servicios, S.A. (Autor: Germán López Gómez);Plataforma Oceánica de Canarias (PLOCAN);OFF0005-1;Proyecto técnico modificado n.º 1. Red eléctrica para el ensayo de nuevas tecnologías marinas en el banco de ensayos de la Plataforma Oceánica de Canarias (PLOCAN) con conexión en la central eléctrica de Jinámar;2017;Comercial;Proyecto Técnico;"Autorización Administrativa Previa; Autorización de Construcción";Disponible
OFF0006;E-2780.pdf;2019;España | Canarias (Las Palmas, Gran Canaria);Incompleto;Proyecto;Cable submarino (conexión eléctrica y comunicaciones);Proyecto técnico modificado nº2 (Rev01) para la “Red eléctrica para el ensayo de nuevas tecnologías marinas” del Banco de Ensayos de PLOCAN, con conexión a la Central Térmica de Jinámar (Las Palmas de Gran Canaria). El documento describe y justifica cambios respecto a modificados previos, centrados en el trazado final del cable norte y en la necesidad de instalar protecciones mecánicas adicionales (derivadas de observaciones con ROV y condiciones del fondo). Incluye antecedentes del contrato y de las revisiones, objeto y alcance del modificado, titularidad y emplazamiento (infraestructura terrestre y marina), normas y requisitos, y elementos del sistema eléctrico y de comunicaciones. Aporta anexos con plan de obra/planificación y un nuevo anexo de observaciones ROV, además de referencias a mediciones y partidas afectadas por el incremento de protecciones.;"Índice general: Documento 1 – Memoria descriptiva y anexos; Documento 2 – Planos; Documento 3 – Pliego de condiciones técnicas particulares; Documento 4 – Presupuesto. Memoria (Documento 1) – Índice: 1. Antecedentes; 2. Objeto del proyecto modificado 2; 3. Titular de la instalación, situación y emplazamiento (3.1 Titular de la instalación; 3.2 Situación y emplazamiento de la obra); 4. Alcance del proyecto. Justificación del proyecto modificado; 5. Normas y referencias; 6. Requisitos de la instalación; 7. Servicios afectados; 8. Elementos del sistema eléctrico y de comunicaciones. Anexos: Anexo IX – Plan de obra; Anexo XIII (nuevo) – Observaciones ROV.";Cobra Instalaciones y Servicios, S.A.;Plataforma Oceánica de Canarias (PLOCAN);OFF0006-1;Proyecto técnico modificado n.º 2. Red eléctrica para el ensayo de nuevas tecnologías marinas en el banco de ensayos de la Plataforma Oceánica de Canarias (PLOCAN) con conexión en la central eléctrica de Jinámar;2019;Comercial;Proyecto Técnico;"Modificación de proyecto; Autorización de Construcción";Disponible
OFF0007;TFG SUBESTACION A. GUEVARA_a132-66kV.pdf;2019;España | Andalucía (Cádiz, San Fernando);Completo;Otro (especificar): Trabajo Fin de Grado (Diseño);Subestación (132/66 kV);Trabajo Fin de Grado (Universidad de Jaén) que desarrolla el diseño de una subestación eléctrica de intemperie 132/66 kV con potencia total de transformación de 50 MVA. Plantea dos parques: 132 kV con configuración de interruptor y medio y 66 kV con doble barra y acoplamiento, justificando la elección por criterios de continuidad de suministro. Define emplazamiento en San Fernando (Cádiz) y condiciones de diseño (ambientales, cortocircuito y terreno), y selecciona tecnología híbrida HIS con módulos compactos aislados en SF6 (PASS de ABB). Incluye dimensionamiento de distancias reglamentarias, embarrados principales y secundarios (materiales, secciones, apoyos), selección de aparamenta (interruptores, seccionadores, TI/TT), pararrayos, transformadores 30 MVA (x2), red de tierras (criterios ITC-RAT 13), sistemas de control, protección y telecomunicaciones, edificio de control y obra civil. Aporta anexos de cálculos, planificación, seguridad y salud, gestión de residuos, planos, pliego y presupuesto.;"Índice (extracto): MEMORIA; 1. Objeto del proyecto; 2. Antecedentes; 3. Normativa empleada; 4. Software utilizado; 5. Bibliografía; 6. Generalidades e hipótesis de diseño (emplazamiento, hipótesis, datos de terreno); 7. Características generales de la instalación; 8. Sistema eléctrico (distancias, embarrados, aparamenta, transformadores, red de tierras, control y protección); 9. Instalaciones (edificio y servicios auxiliares, telecomunicaciones, PCI e intrusión, cerramientos); 10. Obra civil; 11. Estructuras y soportes; 12. Presupuesto; CÁLCULOS (tensiones, distancias, cálculos eléctricos y mecánicos, autoválvulas, red de tierras); RESULTADOS DE CÁLCULO; Planificación; Estudio de seguridad y salud; Estudio de gestión de residuos; PLANOS; PLIEGO DE CONDICIONES; MEDICIONES Y PRESUPUESTO.";Alejandro Juan Guevara Requena (Universidad de Jaén, Escuela Politécnica Superior);Por confirmar;OFF0007-1;TFG. Diseño de subestación 132/66 kV;2019;Académico;Trabajo Fin de Grado;No aplica;Disponible
